"Programa de Governo"|"Ação"|"Órgão Responsável"|"Quanto foi previsto"|"Quanto já foi realizado <br>(Empenhado ou Pago)"
"Saude Publica de Qualidade e Eficaz"|"em 248 Loa 2023 - Custeio ao Grupo de Pesquisa e a Ssistencia ao Cancer Infantil - Gpaci"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 248 Loa 2025 - Modernizacao dos Equipamentos do Samu"|"Secr.da Saude"|100000.00|27911.97
"Saude Publica de Qualidade e Eficaz"|"em 249 Loa 2023 - Custeio ao Hospital Santa Lucind a de Sorocaba"|"Secr.da Saude"|607379.50|607379.50
"Saude Publica de Qualidade e Eficaz"|"em 250 Loa 2023 - Custeio a Santa Casa de Miserico Rdia de Sorocaba"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 250 Loa 2025 - Custeio Exames Variados da Centr Al de Regulacao de Vagas"|"Secr.da Saude"|15000.00|15000.00
"Saude Publica de Qualidade e Eficaz"|"em 251 Loa 2023 - Custeio ao Bos - Banco de Olhos de Sorocaba"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 252 Loa 2023 - Custeio ao Ibrapper"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 252 Loa 2025 - Aquisicao de Materiais Variados para o Programa Acamados da Prefeitura Sorocaba"|"Secr.da Saude"|25236.80|20915.40
"Saude Publica de Qualidade e Eficaz"|"em 253 Loa 2023 - Custeio a Asipeca"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 253 Loa 2025 - Destinacao para Custeio do Insti Tuto Saude em Equilibrio"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 254 Loa 2023 - Custeio a Amas"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 254 Loa 2024 - Reforma de Area Hospitalar de Ap Oio e em Areas de Internacao Santa Casa de Miseric"|"Secr.da Saude"|200000.00|200000.00
"Saude Publica de Qualidade e Eficaz"|"em 255 Loa 2024 - Custeio da Apadas - Associacao D os Pais e Amigos dos Deficientes Auditivos Sorocab"|"Secr.da Saude"|50000.00|50000.00
